threads,rep,elapsed_s,comp_max_s,comp_avg_s,comm_max_s,comm_avg_s
1,1,270.666798,270.372600,270.372600,0.294100,0.294100
1,2,268.568141,268.285714,268.285714,0.282283,0.282283
1,3,268.521921,268.239596,268.239596,0.282205,0.282205
2,1,137.904529,137.654894,137.654894,0.249518,0.249518
2,2,137.993005,137.746172,137.746172,0.246695,0.246695
2,3,137.826708,137.584175,137.584175,0.242419,0.242419
4,1,78.120711,77.883285,77.883285,0.237303,0.237303
4,2,78.091827,77.859080,77.859080,0.232638,0.232638
4,3,78.166098,77.936954,77.936954,0.229013,0.229013
8,1,61.576382,61.281625,61.281625,0.294629,0.294629
8,2,61.607403,61.311484,61.311484,0.295789,0.295789
8,3,61.452550,61.158642,61.158642,0.293817,0.293817
16,1,44.495255,44.172406,44.172406,0.322732,0.322732
16,2,44.356588,44.040341,44.040341,0.316102,0.316102
16,3,44.460880,44.146499,44.146499,0.314240,0.314240
32,1,22.408768,22.069740,22.069740,0.338884,0.338884
32,2,22.408801,22.066301,22.066301,0.342370,0.342370
32,3,22.373560,22.039673,22.039673,0.333757,0.333757
64,1,11.490002,11.124900,11.124900,0.364989,0.364989
64,2,11.447111,11.094778,11.094778,0.352218,0.352218
64,3,11.449188,11.095187,11.095187,0.353897,0.353897
96,1,7.917429,7.483035,7.483035,0.434267,0.434267
96,2,7.910285,7.477540,7.477540,0.432654,0.432654
96,3,7.933635,7.498521,7.498521,0.434982,0.434982
128,1,6.123342,5.664925,5.664925,0.458294,0.458294
128,2,6.109967,5.653667,5.653667,0.456179,0.456179
128,3,6.118244,5.658754,5.658754,0.459360,0.459360
